#Data Set Export - Total Storage.Web-Daily-tcm@08461200,
Timestamp (UTC-06:00),Value (m^3)
2026-01-19 00:00:00,409108904.06384236
2026-01-20 00:00:00,408651596.21178067
2026-01-21 00:00:00,409801000
2026-01-22 00:00:00,410810800.0000003
2026-01-23 00:00:00,412188800.0000003
2026-01-24 00:00:00,413198599.99999976
2026-01-25 00:00:00,414256220.307936
2026-01-26 00:00:00,414819336.72596496
2026-01-27 00:00:00,413657600.0000005
2026-01-28 00:00:00,413015000
2026-01-29 00:00:00,414080644.42325383
2026-01-30 00:00:00,417239908.6427919
2026-01-31 00:00:00,420399577.69301754
2026-02-01 00:00:00,420896879.01414335
2026-02-02 00:00:00,422403064.199817
2026-02-03 00:00:00,423299599.99999976
2026-02-04 00:00:00,424494000
2026-02-05 00:00:00,426789000
2026-02-06 00:00:00,427156999.99999946
2026-02-07 00:00:00,428167000
2026-02-08 00:00:00,428442400.00000024
2026-02-09 00:00:00,428717800.00000054
2026-02-10 00:00:00,429176800.0000003
2026-02-11 00:00:00,429176800.0000003
2026-02-12 00:00:00,430003000
2026-02-13 00:00:00,431013799.9999992
2026-02-14 00:00:00,432390800.0000003
2026-02-15 00:00:00,432758000
2026-02-16 00:00:00,431564599.99999976
2026-02-17 00:00:00,430462000
2026-02-18 00:00:00,430462000
2026-02-19 00:00:00,431013799.9999992
2026-02-20 00:00:00,431289199.99999946
2026-02-21 00:00:00,431289199.99999946
2026-02-22 00:00:00,431656400.00000024
2026-02-23 00:00:00,429819400.00000024
2026-02-24 00:00:00,428544052.79074043
2026-02-25 00:00:00,429192730.75860137
2026-02-26 00:00:00,429841408.72646296
2026-02-27 00:00:00,430278400.00000024
2026-02-28 00:00:00,429452199.9999997
2026-03-01 00:00:00,427524400.00000024
2026-03-02 00:00:00,426146400.00000024
2026-03-03 00:00:00,425565112.6712673
2026-03-04 00:00:00,424555481.67816895
2026-03-05 00:00:00,423942199.9999997
2026-03-06 00:00:00,424887860.3719852
2026-03-07 00:00:00,426090165.2647485
2026-03-08 00:00:00,427752470.1575117
2026-03-09 00:00:00,429230175.0502749
2026-03-10 00:00:00,431656400.00000024
2026-03-11 00:00:00,434962200.0000008
2026-03-12 00:00:00,440380400.00000024
2026-03-13 00:00:00,439828999.99999976
2026-03-14 00:00:00,440326724.5346798
2026-03-15 00:00:00,441748141.0393836
2026-03-16 00:00:00,445740957.5440863
2026-03-17 00:00:00,449513308.6064197
2026-03-18 00:00:00,450260195.8304864
2026-03-19 00:00:00,450424800.0000006
2026-03-20 00:00:00,449027599.99999976
2026-03-21 00:00:00,447057132.3651537
2026-03-22 00:00:00,443713543.81735504
2026-03-23 00:00:00,441930835.5138285
2026-03-24 00:00:00,441158787.0881649
2026-03-25 00:00:00,440019352.47222424
